ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,ASSENTAMEN
degradacao,"11","2022",Sentinel-2,AM,0.13,Lábrea,PA MONTE
degradacao,"11","2022",Sentinel-2,AC,0.12,Bujari,PA ANTONIO DE HOLANDA
degradacao,"11","2022",Sentinel-2,MT,0.11,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,PA,0.10,Jacareacanga,PA JACARÉ
degradacao,"11","2022",Sentinel-2,MT,0.10,Peixoto de Azevedo,PE VIDA NOVA
degradacao,"11","2022",Sentinel-2,MT,0.09,Cotriguaçu,PA NOVA COTRIGUAÇU
degradacao,"11","2022",Sentinel-2,MT,0.09,Peixoto de Azevedo,PE VIDA NOVA
degradacao,"11","2022",Sentinel-2,AC,0.01,Rio Branco,PAD HUMAITÁ
degradacao,"11","2022",Sentinel-2,AC,0.06,Porto Acre,PAD HUMAITÁ
degradacao,"11","2022",Sentinel-2,AM,0.07,Humaitá,PDS REALIDADE
degradacao,"11","2022",Sentinel-2,AC,0.07,Acrelândia,PAD PEDRO PEIXOTO
degradacao,"11","2022",Sentinel-2,AC,0.07,Porto Acre,PAD HUMAITÁ
degradacao,"11","2022",Sentinel-2,MT,0.07,Nova Bandeirantes,PA JAPURANÃ
degradacao,"11","2022",Sentinel-2,PA,0.05,Mojuí dos Campos,PA MOJU I E II
degradacao,"11","2022",Sentinel-2,AC,0.05,Rodrigues Alves,PA SÃO PEDRO
degradacao,"11","2022",Sentinel-2,AM,0.05,Humaitá,PAE SANTA MARIA AUXILIADORA
degradacao,"11","2022",Sentinel-2,MT,0.05,Guarantã do Norte,PA CACHOEIRA DA UNIÃO
degradacao,"11","2022",Sentinel-2,AC,0.05,Porto Acre,PA BANDEIRANTE
degradacao,"11","2022",Sentinel-2,MT,0.05,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,AM,0.05,Lábrea,PA MONTE
degradacao,"11","2022",Sentinel-2,MT,0.04,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,MT,0.04,Guarantã do Norte,PA SÃO CRISTÓVÃO
degradacao,"11","2022",Sentinel-2,MT,0.02,Cotriguaçu,PA JURUENA
degradacao,"11","2022",Sentinel-2,AC,0.04,Senador Guiomard,PDS BONAL
degradacao,"11","2022",Sentinel-2,AC,0.04,Bujari,PA ANTONIO DE HOLANDA
degradacao,"11","2022",Sentinel-2,AC,0.04,Porto Acre,PA BANDEIRANTE
degradacao,"11","2022",Sentinel-2,AC,0.03,Porto Acre,PA CAQUETÁ
degradacao,"11","2022",Sentinel-2,MT,0.04,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,AM,0.02,Humaitá,PAE SANTA MARIA AUXILIADORA
degradacao,"11","2022",Sentinel-2,MT,0.04,Cotriguaçu,PA NOVA COTRIGUAÇU
degradacao,"11","2022",Sentinel-2,TO,0.04,Guaraí,PA PEDRA BRANCA
degradacao,"11","2022",Sentinel-2,AC,0.03,Senador Guiomard,PAD PEDRO PEIXOTO
degradacao,"11","2022",Sentinel-2,AC,0.03,Sena Madureira,PAF PROVIDÊNCIA CAPITAL
degradacao,"11","2022",Sentinel-2,AC,0.03,Senador Guiomard,PDS BONAL
degradacao,"11","2022",Sentinel-2,AC,0.03,Bujari,PA ANTONIO DE HOLANDA
