ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,UNID_CONSE,USO,JURISDICAO
degradacao,8,2022,Landsat-9,PA,0.02,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-9,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.05,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-9,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.03,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-9,PA,0.03,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-9,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.03,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-9,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.02,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,7.15,Itaituba,FLONA de Altamira,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,5.55,Itaituba,FLONA de Altamira,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,0.01,Aveiro,RESEX Tapajós-Arapiuns,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,1.15,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.01,Rurópolis,RESEX Riozinho do Anfrísio,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,0.84,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.81,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.66,Itaituba,APA do Tapajós,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,0.57,Itaituba,FLONA de Altamira,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,0.42,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.39,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,MT,0.36,Juína,ESEC de Iquê,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.35,Itaituba,APA do Tapajós,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,0.34,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.33,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.32,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.31,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.31,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.28,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.26,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.23,Itaituba,FLONA de Altamira,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,0.23,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.23,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.20,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.18,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,AM,0.18,Maués,FLONA de Urupadi,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,0.16,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.16,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.16,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.16,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.15,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.15,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.15,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.14,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.13,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.13,Altamira,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.12,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.12,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.11,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.11,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.10,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.09,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.09,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.09,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.09,Altamira,FES do Iriri,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.08,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.07,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.06,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,AM,0.05,Maués,FLONA de Urupadi,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.05,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.05,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.05,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.05,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.05,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.04,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.04,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.04,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.04,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.04,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.04,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
