ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,UNID_CONSE,USO,JURISDICAO
degradacao,11,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.10,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.70,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.50,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,1.39,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.17,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.14,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.94,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.15,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,10,2020,Sentinel-1-2,PA,0.21,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.18,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.29,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.09,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,10,2020,Sentinel-1-2,PA,0.32,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.40,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,11,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.11,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.16,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,1.34,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.14,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.10,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.14,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.21,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,2.25,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.10,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.48,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.17,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.54,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,2.81,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,12,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,12,2020,Sentinel-1-2,PA,0.15,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,1,2021,Sentinel-1-2,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,1.83,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,12,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.52,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.81,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,12,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.17,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.46,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.82,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.28,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.20,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,1.23,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.12,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.10,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,1.60,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.09,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.35,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.10,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.09,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,10,2020,Sentinel-1-2,PA,0.27,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.10,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.15,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.11,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.13,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.25,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,1.86,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.23,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.11,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.29,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,2.45,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.39,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.19,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,10,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.28,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.12,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,2.57,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.12,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.19,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.12,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,1.22,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.35,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,9,2020,Sentinel-1-2,PA,0.06,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
