ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2
degradacao,"11","2022",Sentinel-1,TO,0.57
degradacao,"11","2022",Sentinel-1,TO,0.13
degradacao,"11","2022",Sentinel-1,TO,0.13
degradacao,"11","2022",Sentinel-1,TO,0.05
degradacao,"11","2022",Sentinel-1,AM,0.04
degradacao,"11","2022",Sentinel-1,AC,0.03
degradacao,"11","2022",Sentinel-1,AC,0.02
degradacao,"11","2022",Sentinel-1,TO,0.02
degradacao,"11","2022",Sentinel-1,TO,0.02
degradacao,"11","2022",Sentinel-1,TO,0.01
degradacao,"11","2022",Sentinel-2,TO,76.04
degradacao,"11","2022",Sentinel-2,PA,30.92
degradacao,"11","2022",Sentinel-2,MT,18.59
degradacao,"11","2022",Sentinel-2,MT,18.57
degradacao,"11","2022",Sentinel-2,MT,16.84
degradacao,"11","2022",Sentinel-2,MT,15.07
degradacao,"11","2022",Sentinel-2,MT,12.24
degradacao,"11","2022",Sentinel-2,MT,12.15
degradacao,"11","2022",Sentinel-2,MT,10.33
degradacao,"11","2022",Sentinel-2,MT,9.90
degradacao,"11","2022",Sentinel-2,MT,9.68
degradacao,"11","2022",Sentinel-2,MT,8.90
degradacao,"11","2022",Sentinel-2,MT,8.34
degradacao,"11","2022",Sentinel-2,MT,6.29
degradacao,"11","2022",Sentinel-2,MT,5.82
degradacao,"11","2022",Sentinel-2,MT,5.70
degradacao,"11","2022",Sentinel-2,MT,4.95
degradacao,"11","2022",Sentinel-2,AM,4.78
degradacao,"11","2022",Sentinel-2,MT,4.71
degradacao,"11","2022",Sentinel-2,MT,4.64
degradacao,"11","2022",Sentinel-2,MT,4.58
degradacao,"11","2022",Sentinel-2,MT,4.55
degradacao,"11","2022",Sentinel-2,MT,4.43
degradacao,"11","2022",Sentinel-2,MT,4.42
degradacao,"11","2022",Sentinel-2,MT,4.32
degradacao,"11","2022",Sentinel-2,MT,4.05
degradacao,"11","2022",Sentinel-2,MT,3.86
degradacao,"11","2022",Sentinel-2,AM,3.66
degradacao,"11","2022",Sentinel-2,MT,3.60
degradacao,"11","2022",Sentinel-2,AM,3.50
degradacao,"11","2022",Sentinel-2,MT,3.40
degradacao,"11","2022",Sentinel-2,RO,3.31
degradacao,"11","2022",Sentinel-2,MT,3.30
degradacao,"11","2022",Sentinel-2,MT,3.16
degradacao,"11","2022",Sentinel-2,MT,3.13
degradacao,"11","2022",Sentinel-2,RO,3.07
degradacao,"11","2022",Sentinel-2,PA,3.05
degradacao,"11","2022",Sentinel-2,RO,2.96
degradacao,"11","2022",Sentinel-2,AM,2.93
degradacao,"11","2022",Sentinel-2,TO,2.93
degradacao,"11","2022",Sentinel-2,PA,2.86
degradacao,"11","2022",Sentinel-2,MT,2.80
degradacao,"11","2022",Sentinel-2,PA,2.78
degradacao,"11","2022",Sentinel-2,MT,2.75
